100,27.7695,12.6322
200,36.2776,17.0181
300,38.1653,21.8189
400,39.6220,19.4783
500,42.1040,23.6675
600,37.6476,17.8645
700,41.5641,23.2024
800,43.8721,20.6437
900,45.5256,24.2595
1000,49.0842,28.7811
1100,46.1391,20.8838
1200,43.1739,20.8654
1300,15.1350,5.4873
1400,32.0819,14.8911
1500,48.4658,26.6255
1600,46.0452,25.0334
1700,40.0579,15.9002
1800,37.2535,20.6131
1900,53.1454,29.2468
2000,49.5754,24.6360
2100,49.6765,24.9181
2200,44.4983,24.1407
2300,56.4975,32.3733
2400,45.9865,21.3330
2500,54.6038,28.1013
2600,35.8143,14.9499
2700,52.5411,26.8053
2800,45.2520,20.5304
2900,13.1405,5.2218
3000,15.1348,5.2958
3100,40.7721,19.1908
3200,47.5378,31.2023
3300,43.9101,30.8956
3400,25.3025,12.3527
3500,38.6963,30.4041
3600,36.3524,22.9338
3700,31.5495,16.8117
3800,35.8562,24.8120
3900,38.2929,25.3305
4000,41.5744,25.1024
4100,50.4123,31.8636
4200,36.9286,21.4914
4300,39.5136,24.1859
4400,26.3197,17.4305
4500,29.2860,15.8399
4600,20.4124,9.0486
4700,15.9553,7.6482
4800,14.0917,6.4386
4900,14.5416,5.6599
5000,13.5290,5.3047
5100,12.8556,4.7850
5200,15.5512,5.8483
5300,14.2490,5.3897
5400,15.0579,5.3384
5500,16.3253,5.5469
5600,22.2502,8.9709
5700,27.4128,12.5284
5800,28.5226,12.3975
5900,39.9951,18.3009
6000,44.7080,19.4704
6100,39.5706,17.1558
6200,36.7048,14.3787
6300,35.2104,14.1531
6400,48.7086,26.8262
6500,37.1664,20.0820
6600,44.4619,24.7289
6700,44.7248,19.0866
6800,38.3943,18.7242
6900,41.1800,23.1081
7000,51.0595,28.5971
7100,31.4695,14.7354
7200,43.9904,23.2170
7300,40.5757,26.6638
7400,29.2804,15.7637
7500,42.6084,25.9657
7600,25.4703,10.4789
7700,46.8572,23.0663
7800,48.9063,27.2967
7900,39.5630,20.0332
8000,48.5883,30.1158
8100,40.1521,21.8801
8200,42.0571,24.8671
8300,53.2654,28.1860
8400,43.9195,18.0548
8500,49.3775,25.3415
8600,32.2628,16.3379
8700,51.6363,22.8104
8800,38.6255,16.3670
8900,48.3986,29.8148
9000,55.3892,23.4526
9100,51.0352,25.0106
9200,50.7067,23.4759
9300,56.6457,26.1508
9400,53.3427,27.5808
9500,43.5106,20.4939
9600,51.6314,24.9352
9700,58.3409,27.7048
9800,59.1581,28.6096
9900,53.0551,26.9390
10000,54.0560,24.4724
10100,56.0409,24.2983
10200,70.4407,28.9689
10300,56.2306,24.3509
10400,64.3726,28.4943
10500,71.6155,32.2071
10600,56.7335,27.8018
10700,74.7288,29.9988
10800,46.9799,25.7012
10900,77.3782,33.5204
11000,77.8004,31.7008
11100,90.3592,35.0955
11200,101.2396,35.9873
11300,97.4054,38.5160
11400,82.7917,33.0105
11500,106.8194,33.1424
11600,105.9666,37.9171
11700,120.7948,37.6421
11800,123.1576,35.3414
11900,114.7493,31.0951
12000,117.2805,35.6666
12100,126.6348,39.7791
12200,127.7491,34.1974
12300,119.8895,38.2237
12400,129.4439,40.8709
12500,128.4758,37.6338
12600,129.8838,40.2440
12700,133.3845,36.8192
12800,132.0440,36.0043
12900,136.7341,34.0509
13000,132.7539,39.5159
13100,134.7720,31.7336
13200,141.8318,32.6129
13300,128.3665,36.5994
13400,136.1119,38.6549
13500,139.7208,32.2607
13600,143.7225,38.9202
13700,139.6037,36.1669
13800,139.2892,34.3504
13900,146.2952,32.1121
14000,148.7900,36.6461
14100,135.4915,33.8258
14200,141.9401,39.2245
14300,146.9842,35.1245
14400,142.2432,36.8667
14500,147.8150,36.1331
14600,151.7296,31.2792
14700,153.8147,40.1403
14800,158.3014,35.1703
14900,152.0304,34.7391
15000,151.8300,32.8823
15100,153.7463,36.1024
15200,150.0945,33.9909
15300,146.8224,32.7505
15400,159.5235,32.5713
15500,162.5522,32.8827
15600,150.1594,35.7652
15700,155.6104,37.0835
15800,154.1126,39.5952
15900,166.5830,33.0038
16000,160.4606,35.8227
16100,169.6383,33.5203
16200,163.6369,34.7975
16300,159.3427,35.4154
16400,157.8630,34.3875
16500,155.4284,38.5763
16600,148.5820,34.5121
16700,162.6569,32.3324
16800,159.7609,36.4235
16900,169.6358,33.5672
17000,162.5428,33.4421
17100,169.7782,33.7123
17200,163.5607,32.0020
17300,171.8248,32.4882
17400,169.7946,30.7957
17500,164.6469,33.7560
17600,161.2832,34.3461
17700,158.7789,33.4865
17800,161.4919,29.7960
17900,172.7000,33.0896
18000,169.2142,31.5633
18100,167.8517,32.8527
18200,169.6234,33.1007
18300,166.1906,36.6092
18400,167.5764,29.4517
18500,174.8125,29.3807
18600,164.8670,34.0239
18700,174.2591,32.6975
18800,171.4769,35.2021
18900,170.8668,30.7586
19000,173.2110,27.5915
19100,179.3011,34.4801
19200,174.5954,31.7254
19300,171.7158,34.5651
19400,175.0526,32.7690
19500,175.7627,32.4676
19600,175.5135,34.4007
19700,173.5980,31.2133
19800,175.4971,33.5473
19900,172.0048,32.1681
20000,176.6508,29.7244
20100,176.9985,31.5978
20200,184.9948,29.2089
20300,178.7357,27.0400
20400,178.2703,31.3551
20500,174.8895,30.3238
20600,175.0015,34.4004
20700,179.1642,32.1626
20800,186.5444,30.7615
20900,181.0994,34.1802
21000,182.3517,31.3861
21100,186.1676,28.5780
21200,184.1438,29.8030
21300,181.1523,32.4441
21400,182.9102,34.9180
21500,176.4674,34.4650
21600,186.0774,27.6878
21700,179.3369,32.4703
21800,188.3781,30.5441
21900,187.4917,27.4809
22000,188.7324,27.7896
22100,190.4118,32.4918
22200,188.4528,28.0629
22300,187.3853,34.2961
22400,182.7760,33.2498
22500,185.3155,35.0167
22600,186.9536,30.1474
22700,184.8735,33.5125
22800,185.0096,30.2840
22900,185.8582,35.4294
23000,193.3495,28.7365
23100,194.5945,31.2654
23200,183.6687,31.0754
23300,190.5873,33.9984
23400,196.9184,27.7312
23500,188.4438,28.3048
23600,192.8125,30.2069
23700,188.6872,31.0690
23800,189.6512,30.9480
23900,190.7116,32.7927
24000,195.7039,30.3320
24100,194.4289,28.5364
24200,185.3273,35.7107
24300,193.9042,28.1325
24400,196.5719,27.1601
24500,197.0708,26.1960
24600,189.7290,26.4464
24700,191.1278,25.7307
24800,197.0184,28.3031
24900,193.7319,34.1828
25000,196.3512,27.6546
25100,189.1729,32.2583
25200,191.7759,27.8291
25300,192.6887,35.9213
25400,195.4362,30.7443
25500,195.2399,26.5627
25600,198.7342,33.0684
25700,195.7592,27.5767
25800,201.3374,25.7861
25900,198.9780,24.7500
26000,198.1230,28.2625
26100,195.3016,27.9225
26200,200.2126,27.5385
26300,196.8840,35.2511
26400,198.6143,25.8481
26500,194.9164,32.7926
26600,197.9330,26.1680
26700,196.7313,29.6409
26800,200.8836,27.5480
26900,198.8863,28.2869
27000,199.4511,26.4773
27100,196.4189,31.9020
27200,195.6517,32.1660
27300,198.6066,29.3728
27400,198.3152,28.1101
27500,200.5121,27.4954
27600,198.0884,28.4118
27700,198.5290,26.0975
27800,196.2340,29.7833
27900,196.8624,29.1347
28000,201.7522,29.1330
28100,194.6913,33.9833
28200,204.5816,27.0018
28300,197.1821,27.8795
28400,203.4693,29.7798
28500,203.9291,31.2572
28600,198.5418,26.9498
28700,198.8392,28.5416
28800,206.5877,23.7865
28900,201.4629,32.6345
29000,201.0078,25.8543
29100,201.6789,28.1000
29200,206.5497,26.5358
29300,207.7510,25.0576
29400,199.1486,24.6628
29500,200.6292,30.3230
29600,205.1464,25.1762
29700,199.2911,33.4366
29800,204.6860,28.8873
29900,203.9564,31.5096
